cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5005140175,21.4637,15.0444,313.9846,153.4528,-6.4735176445515E-02
2.6672149520,17.9265,13.5220,313.9846,153.4528,-5.1849160840721E-02
2.8339158865,15.8193,11.9084,313.9846,153.4528,-4.1272324428852E-02
3.0006168210,14.5225,10.2947,313.9846,153.4528,-3.3640656315930E-02
3.1673177555,13.3074,8.9337,313.9846,153.4528,-2.7912685074093E-02
3.3340186900,11.6461,7.6966,313.9846,153.4528,-2.3416347072176E-02
3.5007196245,9.3815,6.3129,313.9846,153.4528,-2.0022730375819E-02
3.6674205590,6.8426,4.7484,313.9846,153.4528,-1.7588665614848E-02
3.8341214935,4.5709,3.2564,313.9846,153.4528,-1.5943973697615E-02
4.0008224280,2.8851,2.0893,314.1299,153.4528,-1.4973390505036E-02
4.1675233625,1.7799,1.2994,324.4319,154.3033,-1.4737742227588E-02
4.3342242970,1.1002,0.8056,377.6899,324.1144,-2.2278035926277E-02
4.5009252315,0.6910,0.5061,1476.1747,340.3507,-4.6311219731191E-02
4.6676261660,0.4441,0.3249,1521.2577,340.5111,-4.3886181284586E-02
4.8343271005,0.2926,0.2137,1522.3409,340.5195,-3.9506528833667E-02
5.0010280350,0.1977,0.1441,1522.4368,340.5207,-3.4719503924942E-02
5.1677289695,0.1368,0.0996,1522.4552,340.5210,-3.0156038994609E-02
5.3344299040,0.0968,0.0704,1522.4608,340.5211,-2.6119878628166E-02
5.5011308385,0.0699,0.0507,1522.4630,340.5212,-2.2650204796060E-02
5.6678317730,0.0515,0.0373,1522.4641,340.5212,-1.9664900208513E-02
5.8345327075,0.0387,0.0280,1522.4647,340.5212,-1.7062856179785E-02
6.0012336420,0.0295,0.0214,1522.4651,340.5212,-1.4768864730858E-02
6.1679345765,0.0228,0.0165,1522.4653,340.5212,-1.2743003589314E-02
6.3346355110,0.0179,0.0130,1522.4655,340.5212,-1.0963694250191E-02
6.5013364455,0.0142,0.0103,1522.4656,340.5212,-9.4137946013025E-03
6.6680373800,0.0114,0.0083,1522.4657,340.5212,-8.0776512524369E-03
6.8347383145,0.0093,0.0068,1522.4657,340.5212,-6.9333174891237E-03
7.0014392490,0.0077,0.0056,1522.4658,340.5212,-5.9564531886881E-03
7.1681401835,0.0063,0.0046,1522.4658,340.5212,-5.1277686667337E-03
7.3348411180,0.0052,0.0038,1522.4659,340.5212,-4.4234830027620E-03
7.5015420525,0.0044,0.0032,1522.4659,340.5212,-3.8261202544266E-03
7.6682429870,0.0037,0.0027,1522.4659,340.5212,-3.3191068619997E-03
7.8349439215,0.0032,0.0023,1522.4659,340.5212,-2.8861751839140E-03
8.0016448560,0.0027,0.0020,1522.4659,340.5212,-2.5177966619071E-03
8.1683457905,0.0024,0.0018,1522.4659,340.5212,-2.2027473940445E-03
