cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.5615501789,33.6420,15.6162,491.7448,153.4528,-9.3569523296965E-01
5.9323201909,28.4263,13.8032,491.7448,153.4528,-7.8184361737009E-01
6.3030902028,25.6343,12.7627,491.7448,153.4528,-6.3823610106919E-01
6.6738602147,23.4614,11.9307,491.7448,153.4528,-5.1031684256313E-01
7.0446302266,20.6327,10.8853,491.7448,153.4528,-4.0984448368523E-01
7.4154002386,16.5733,9.3486,491.7448,153.4528,-3.3758767932128E-01
7.7861702505,11.8418,7.3548,491.7448,153.4528,-2.8802705371891E-01
8.1569402624,7.6464,5.2668,491.7448,153.4528,-2.5632489978365E-01
8.5277102744,4.6580,3.4890,491.7448,153.4528,-2.3853418890135E-01
8.8984802863,2.7889,2.2002,491.7869,153.4528,-2.2982129010333E-01
9.2692502982,1.6846,1.3600,648.1636,153.7855,-2.3111323704103E-01
9.6400203101,1.0401,0.8426,2205.0664,313.1983,-4.6192130216899E-01
10.0107903221,0.6597,0.5304,2508.1583,340.2727,-4.9655214181560E-01
10.3815603340,0.4303,0.3414,2938.5958,340.5081,-4.6663968980355E-01
10.7523303459,0.2886,0.2253,3180.3488,340.5191,-4.2256640100843E-01
11.1231003579,0.1986,0.1524,3271.7914,340.5206,-3.7347567404147E-01
11.4938703698,0.1399,0.1056,3309.5208,340.5210,-3.2623611565101E-01
11.8646403817,0.1007,0.0749,3327.5968,340.5211,-2.8374333196699E-01
12.2354103936,0.0740,0.0542,3337.3426,340.5211,-2.4655277113911E-01
12.6061804056,0.0555,0.0400,3343.0834,340.5212,-2.1411524362806E-01
12.9769504175,0.0422,0.0301,3346.7430,340.5212,-1.8566667902272E-01
13.3477204294,0.0327,0.0230,3349.1562,340.5212,-1.6059789489301E-01
13.7184904414,0.0256,0.0178,3350.8495,340.5212,-1.3852217085623E-01
14.0892604533,0.0203,0.0140,3352.0625,340.5212,-1.1918076275436E-01
14.4600304652,0.0163,0.0111,3352.9524,340.5212,-1.0237720940180E-01
14.8308004771,0.0133,0.0090,3353.5982,340.5212,-8.7890217985284E-02
15.2015704891,0.0109,0.0073,3354.0898,340.5212,-7.5480161260879E-02
15.5723405010,0.0090,0.0060,3354.4910,340.5212,-6.4901115167646E-02
15.9431105129,0.0074,0.0050,3354.8083,340.5212,-5.5899459561470E-02
16.3138805249,0.0063,0.0042,3355.0414,340.5212,-4.8262378222503E-02
16.6846505368,0.0053,0.0036,3355.2284,340.5212,-4.1773039185479E-02
17.0554205487,0.0046,0.0030,3355.3799,340.5212,-3.6251485818638E-02
17.4261905607,0.0040,0.0026,3355.5038,340.5212,-3.1546344404255E-02
17.7969605726,0.0034,0.0022,3355.6060,340.5212,-2.7532801118817E-02
18.1677305845,0.0030,0.0019,3355.6909,340.5212,-2.4094254417441E-02
