cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7022726010,22.9067,13.5828,773.5729,153.4528,-2.1054409391793E-01
3.9490907744,18.7886,11.6480,773.5729,153.4528,-1.7815905371932E-01
4.1959089478,16.6960,10.7039,773.5729,153.4528,-1.4870413781339E-01
4.4427271212,15.4694,10.1029,773.5729,153.4528,-1.2011224197635E-01
4.6895452946,14.3429,9.4276,773.5729,153.4528,-9.5393923446558E-02
4.9363634680,12.8771,8.3886,773.5729,153.4528,-7.6798279675004E-02
5.1831816414,10.9509,6.8847,773.5729,153.4528,-6.4182383582072E-02
5.4299998148,8.7244,5.1128,773.5729,153.4528,-5.6430361467699E-02
5.6768179882,6.5033,3.4599,773.5729,153.4528,-5.2392947326373E-02
5.9236361616,4.5690,2.1991,773.6163,153.4528,-5.0849144326906E-02
6.1704543350,3.0632,1.3602,1150.5291,153.7844,-6.7946473039736E-02
6.4172725084,1.9917,0.8407,1575.9673,313.8806,-1.0133854761390E-01
6.6640906818,1.2789,0.5272,2146.9620,340.2844,-1.2539541005106E-01
6.9109088552,0.8235,0.3380,2313.4748,340.5088,-1.2394048474344E-01
7.1577270286,0.5372,0.2221,2472.7824,340.5192,-1.1840587723721E-01
7.4045452020,0.3571,0.1496,2627.2474,340.5206,-1.1030803410116E-01
7.6513633754,0.2424,0.1032,2690.9990,340.5210,-9.8447871737389E-02
7.8981815488,0.1681,0.0728,2715.1935,340.5211,-8.6077976912584E-02
8.1449997222,0.1190,0.0524,2725.8039,340.5212,-7.4623091876844E-02
8.3918178956,0.0859,0.0386,2731.1415,340.5212,-6.4442892451576E-02
8.6386360690,0.0631,0.0288,2734.1418,340.5212,-5.5521215713559E-02
8.8854542424,0.0473,0.0219,2735.9527,340.5212,-4.7752462563830E-02
9.1322724157,0.0359,0.0169,2737.1238,340.5212,-4.1008420853848E-02
9.3790905891,0.0277,0.0133,2737.9159,340.5212,-3.5169098278485E-02
9.6259087625,0.0217,0.0105,2738.4642,340.5212,-3.0137877496254E-02
9.8727269359,0.0171,0.0084,2738.8604,340.5212,-2.5819986864359E-02
10.1195451093,0.0138,0.0068,2739.1481,340.5212,-2.2130599410441E-02
10.3663632827,0.0111,0.0056,2739.3661,340.5212,-1.8987794889081E-02
10.6131814561,0.0091,0.0046,2739.5312,340.5212,-1.6318900621254E-02
10.8599996295,0.0075,0.0039,2739.6608,340.5212,-1.4055898191496E-02
11.1068178029,0.0063,0.0032,2739.7610,340.5212,-1.2134219053287E-02
11.3536359763,0.0052,0.0027,2739.8416,340.5212,-1.0504725087432E-02
11.6004541497,0.0044,0.0023,2739.9086,340.5212,-9.1192164355317E-03
11.8472723231,0.0037,0.0020,2739.9600,340.5212,-7.9367887957076E-03
12.0940904965,0.0032,0.0017,2740.0020,340.5212,-6.9277441603469E-03
