cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1044753325,16.0886,16.4148,153.4528,336.8727,-4.4242814747082E+00
2.2447736880,13.5673,13.5787,153.4528,336.8727,-3.5061585609013E+00
2.3850720435,12.1295,11.7790,153.4528,336.8727,-2.8082976498474E+00
2.5253703990,11.1787,10.6763,153.4528,336.8727,-2.2934820248030E+00
2.6656687545,10.1610,9.7672,153.4528,336.8727,-1.9092183109478E+00
2.8059671100,8.7113,8.6266,153.4528,336.8727,-1.6301388132030E+00
2.9462654655,6.8053,7.0575,153.4528,336.8727,-1.4491878368590E+00
3.0865638210,4.7980,5.2240,153.4528,336.8727,-1.3544407564873E+00
3.2268621765,3.1151,3.5232,153.4528,346.3610,-1.3382391493024E+00
3.3671605320,1.9308,2.2343,153.4528,346.3610,-1.3245375309496E+00
3.5074588875,1.1810,1.3810,158.6912,346.4253,-1.4667659630730E+00
3.6477572430,0.7286,0.8540,335.2561,383.3001,-1.9583418031126E+00
3.7880555985,0.4585,0.5363,340.4398,391.0724,-1.7879877741434E+00
3.9283539540,0.2958,0.3445,340.5148,391.1410,-1.5652316830900E+00
4.0686523095,0.1959,0.2268,340.5199,391.1442,-1.3463028632302E+00
4.2089506650,0.1331,0.1532,340.5208,391.1446,-1.1512631619466E+00
4.3492490205,0.0926,0.1060,340.5210,391.1447,-9.8463256806800E-01
4.4895473760,0.0659,0.0750,340.5211,391.1447,-8.4303881277904E-01
4.6298457315,0.0480,0.0542,340.5212,391.1448,-7.2147456628701E-01
4.7701440870,0.0355,0.0400,340.5212,391.1448,-6.1610994941844E-01
4.9104424425,0.0268,0.0300,340.5212,391.1448,-5.2466196795025E-01
5.0507407980,0.0205,0.0229,340.5212,391.1448,-4.4573516352444E-01
5.1910391535,0.0160,0.0177,340.5212,391.1448,-3.7817863595652E-01
5.3313375090,0.0126,0.0139,340.5212,391.1448,-3.2081929424059E-01
5.4716358645,0.0101,0.0111,340.5212,391.1448,-2.7241980280808E-01
5.6119342200,0.0082,0.0090,340.5212,391.1448,-2.3174793516126E-01
5.7522325755,0.0067,0.0073,340.5212,391.1448,-1.9762817914823E-01
5.8925309310,0.0055,0.0060,340.5212,391.1448,-1.6901376139587E-01
6.0328292865,0.0046,0.0050,340.5212,391.1448,-1.4498605917742E-01
6.1731276420,0.0039,0.0042,340.5212,391.1448,-1.2477558691835E-01
6.3134259975,0.0033,0.0035,340.5212,391.1448,-1.0773019949923E-01
6.4537243530,0.0028,0.0030,340.5212,391.1448,-9.3313695186369E-02
6.5940227085,0.0024,0.0026,340.5212,391.1448,-8.1084901934734E-02
6.7343210640,0.0021,0.0022,340.5212,391.1448,-7.0674628089907E-02
6.8746194195,0.0018,0.0019,340.5212,391.1448,-6.1791670706123E-02
