cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3496676575,14.7544,3.8415,153.4528,7.1341,-6.5522319371402E-02
2.5063121680,12.0273,3.3889,153.4528,7.1341,-5.4551255026809E-02
2.6629566785,9.8512,3.1843,153.4528,7.1341,-4.6388545316487E-02
2.8196011890,8.3083,3.0624,153.4528,7.1341,-4.0107221811239E-02
2.9762456995,7.1612,2.9344,153.4528,7.1341,-3.4971527377638E-02
3.1328902100,6.1816,2.7260,153.4528,7.1341,-3.0317501811532E-02
3.2895347205,5.1587,2.3760,153.4528,7.1341,-2.5944370647455E-02
3.4461792310,4.0026,1.8862,153.4528,7.1341,-2.2054964862984E-02
3.6028237415,2.8394,1.3525,153.4528,7.1366,-1.8764028223180E-02
3.7594682520,1.8702,0.8945,153.4529,7.2276,-1.6095529332969E-02
3.9161127625,1.1816,0.5653,158.6444,8.0174,-1.4707907355539E-02
4.0727572730,0.7379,0.3525,334.4567,9.0360,-2.1801922688314E-02
4.2294017835,0.4646,0.2213,340.4317,9.4161,-1.9724949903482E-02
4.3860462940,0.2980,0.1415,340.5146,9.5383,-1.7811389912016E-02
4.5426908045,0.1955,0.0925,340.5199,9.5858,-1.6248743870621E-02
4.6993353150,0.1315,0.0620,340.5208,9.6080,-1.4830722109732E-02
4.8559798255,0.0906,0.0425,340.5210,9.6197,-1.3414447003907E-02
5.0126243360,0.0639,0.0299,340.5211,9.6264,-1.1981815702338E-02
5.1692688465,0.0460,0.0215,340.5212,9.6305,-1.0599892048474E-02
5.3259133570,0.0338,0.0157,340.5212,9.6332,-9.3443771073744E-03
5.4825578675,0.0253,0.0117,340.5212,9.6350,-8.2521118827048E-03
5.6392023780,0.0193,0.0089,340.5212,9.6362,-7.3187435948344E-03
5.7958468885,0.0149,0.0069,340.5212,9.6371,-6.5146851267097E-03
5.9524913990,0.0117,0.0054,340.5212,9.6377,-5.8070795862252E-03
6.1091359095,0.0093,0.0043,340.5212,9.6382,-5.1693353969024E-03
6.2657804200,0.0075,0.0035,340.5212,9.6386,-4.5871241685916E-03
6.4224249305,0.0061,0.0028,340.5212,9.6388,-4.0550415552721E-03
6.5790694410,0.0050,0.0023,340.5212,9.6390,-3.5720010957845E-03
6.7357139515,0.0042,0.0019,340.5212,9.6392,-3.1380250256900E-03
6.8923584620,0.0035,0.0016,340.5212,9.6393,-2.7519666488570E-03
7.0490029725,0.0029,0.0014,340.5212,9.6394,-2.4117535969491E-03
7.2056474830,0.0025,0.0012,340.5212,9.6395,-2.1139628022408E-03
7.3622919935,0.0022,0.0010,340.5212,9.6396,-1.8544325041221E-03
7.5189365040,0.0019,0.0009,340.5212,9.6396,-1.6287130240976E-03
7.6755810145,0.0016,0.0008,340.5212,9.6397,-1.4330502549154E-03
