cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.5249422049,27.8721,15.5793,446.2314,153.4528,-4.6691272113353E-01
3.7599383519,23.7431,13.6711,446.2314,153.4528,-3.9287918683082E-01
3.9949344989,21.5075,12.6706,446.2314,153.4528,-3.2340582420378E-01
4.2299306459,19.8518,11.9192,446.2314,153.4528,-2.5850187739526E-01
4.4649267929,17.8437,10.9618,446.2314,153.4528,-2.0608638693760E-01
4.6999229399,14.9873,9.5186,446.2314,153.4528,-1.6832647936478E-01
4.9349190869,11.4548,7.6118,446.2314,153.4528,-1.4272503909611E-01
5.1699152339,7.9480,5.5632,446.2314,153.4528,-1.2639691131835E-01
5.4049113809,5.1145,3.7541,446.2314,153.4528,-1.1703925844833E-01
5.6399075279,3.1578,2.3966,446.2314,153.4528,-1.1238747263233E-01
5.8749036749,1.9296,1.4904,446.2503,153.4967,-1.1616264202987E-01
6.1098998219,1.1912,0.9251,2539.8754,268.6919,-2.0849432646922E-01
6.3448959689,0.7507,0.5819,2545.1711,339.9688,-2.5215833607478E-01
6.5798921159,0.4850,0.3738,2545.1713,340.4994,-2.3353744587014E-01
6.8148882629,0.3216,0.2460,2545.1713,340.5183,-2.1005768404673E-01
7.0498844099,0.2188,0.1660,2545.1713,340.5204,-1.8535708014759E-01
7.2848805568,0.1526,0.1147,2545.1713,340.5209,-1.6186613484643E-01
7.5198767038,0.1088,0.0811,2545.1713,340.5211,-1.4081071696219E-01
7.7548728508,0.0792,0.0586,2545.1713,340.5211,-1.2240890294954E-01
7.9898689978,0.0587,0.0431,2545.1713,340.5212,-1.0636802472924E-01
8.2248651448,0.0443,0.0323,2545.1713,340.5212,-9.2298104837655E-02
8.4598612918,0.0339,0.0246,2545.1713,340.5212,-7.9891073809085E-02
8.6948574388,0.0264,0.0190,2545.1713,340.5212,-6.8958279061267E-02
8.9298535858,0.0209,0.0150,2545.1713,340.5212,-5.9366669573343E-02
9.1648497328,0.0167,0.0119,2545.1713,340.5212,-5.1021945714207E-02
9.3998458798,0.0135,0.0096,2545.1713,340.5212,-4.3816042983793E-02
9.6348420268,0.0110,0.0078,2545.1713,340.5212,-3.7635326230474E-02
9.8698381738,0.0091,0.0064,2545.1713,340.5212,-3.2363607607250E-02
10.1048343208,0.0076,0.0053,2545.1713,340.5212,-2.7879907745890E-02
10.3398304678,0.0063,0.0045,2545.1713,340.5212,-2.4068157041369E-02
10.5748266148,0.0053,0.0037,2545.1713,340.5212,-2.0828290460715E-02
10.8098227618,0.0045,0.0032,2545.1713,340.5212,-1.8072653519082E-02
11.0448189088,0.0038,0.0027,2545.1713,340.5212,-1.5726233997798E-02
11.2798150558,0.0033,0.0023,2545.1713,340.5212,-1.3720099849844E-02
11.5148112028,0.0029,0.0020,2545.1713,340.5212,-1.2005524772783E-02
