cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3715213650,28.2205,14.4869,620.5206,153.4528,-5.0632267952982E-01
3.5962894560,24.0317,12.9475,620.5206,153.4528,-4.1826024143898E-01
3.8210575470,21.1654,11.9204,620.5206,153.4528,-3.4119456600712E-01
4.0458256380,18.8601,10.8654,620.5206,153.4528,-2.7543882119107E-01
4.2705937290,16.6870,9.5763,620.5206,153.4528,-2.2305766945071E-01
4.4953618200,14.3749,8.0279,620.5206,153.4528,-1.8395813519043E-01
4.7201299110,11.7580,6.3105,620.5206,153.4528,-1.5654743920080E-01
4.9448980020,8.9334,4.6004,620.5206,153.4528,-1.3852530008914E-01
5.1696660930,6.2668,3.1110,620.5206,153.4528,-1.2754095101609E-01
5.3944341840,4.1189,1.9893,620.5206,153.4528,-1.2142599282856E-01
5.6192022750,2.6060,1.2382,620.5206,155.6379,-1.1837855828199E-01
5.8439703660,1.6299,0.7692,658.4455,330.8518,-1.8306669156222E-01
6.0687384570,1.0267,0.4843,3924.2829,340.3997,-3.5438192680755E-01
6.2935065480,0.6582,0.3115,3924.4211,340.5130,-3.2952966395040E-01
6.5182746390,0.4314,0.2053,3924.4211,340.5197,-2.9752674913584E-01
6.7430427300,0.2896,0.1387,3924.4211,340.5207,-2.6241983969410E-01
6.9678108210,0.1990,0.0960,3924.4211,340.5210,-2.2821612365630E-01
7.1925789120,0.1399,0.0679,3924.4211,340.5211,-1.9734629164392E-01
7.4173470030,0.1004,0.0491,3924.4211,340.5212,-1.7051992523551E-01
7.6421150940,0.0735,0.0362,3924.4211,340.5212,-1.4742603029152E-01
7.8668831850,0.0548,0.0272,3924.4211,340.5212,-1.2744897737396E-01
8.0916512760,0.0415,0.0207,3924.4211,340.5212,-1.1002713939311E-01
8.3164193670,0.0320,0.0160,3924.4211,340.5212,-9.4782579411900E-02
8.5411874580,0.0249,0.0126,3924.4211,340.5212,-8.1468994247191E-02
8.7659555490,0.0197,0.0100,3924.4211,340.5212,-6.9915876137287E-02
8.9907236400,0.0157,0.0081,3924.4211,340.5212,-5.9962535700209E-02
9.2154917310,0.0127,0.0066,3924.4211,340.5212,-5.1440773190215E-02
9.4402598220,0.0104,0.0054,3924.4211,340.5212,-4.4178400030020E-02
9.6650279130,0.0086,0.0045,3924.4211,340.5212,-3.8009422043656E-02
9.8897960040,0.0071,0.0038,3924.4211,340.5212,-3.2776745352502E-02
10.1145640950,0.0060,0.0032,3924.4211,340.5212,-2.8333037780362E-02
10.3393321860,0.0050,0.0027,3924.4211,340.5212,-2.4555847192095E-02
10.5641002770,0.0043,0.0023,3924.4211,340.5212,-2.1341330557270E-02
10.7888683680,0.0037,0.0020,3924.4211,340.5212,-1.8601629437644E-02
11.0136364590,0.0032,0.0017,3924.4211,340.5212,-1.6259123926821E-02
