cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3276848100,28.1167,14.6826,587.7891,153.4528,-5.2150236408535E-01
3.5495304640,23.8806,13.0965,587.7891,153.4528,-4.3156447384250E-01
3.7713761180,21.0127,12.0984,587.7891,153.4528,-3.5281465581011E-01
3.9932217720,18.7492,11.0926,587.7891,153.4528,-2.8521555074227E-01
4.2150674260,16.6431,9.8115,587.7891,153.4528,-2.3107654011806E-01
4.4369130800,14.3926,8.2291,587.7891,153.4528,-1.9038749308976E-01
4.6587587340,11.8181,6.4611,587.7891,153.4528,-1.6155881832736E-01
4.8806043880,9.0174,4.7015,587.7891,153.4528,-1.4241495594570E-01
5.1024500420,6.3562,3.1734,587.7891,153.4528,-1.3074075047940E-01
5.3242956960,4.1962,2.0264,587.7891,153.4528,-1.2435020796774E-01
5.5461413500,2.6633,1.2602,587.7891,155.0101,-1.2117729104424E-01
5.7679870040,1.6685,0.7825,599.7438,328.7608,-1.7189951805555E-01
5.9898326580,1.0515,0.4927,3521.7753,340.3828,-3.5661800757021E-01
6.2116783120,0.6740,0.3169,3522.0508,340.5123,-3.3233382709625E-01
6.4335239660,0.4414,0.2089,3522.0508,340.5196,-3.0054658156693E-01
6.6553696200,0.2961,0.1411,3522.0508,340.5207,-2.6543029159675E-01
6.8772152740,0.2033,0.0977,3522.0508,340.5210,-2.3104642839020E-01
7.0990609280,0.1428,0.0691,3522.0508,340.5211,-1.9990012017737E-01
7.3209065820,0.1024,0.0500,3522.0508,340.5212,-1.7278798779854E-01
7.5427522360,0.0749,0.0369,3522.0508,340.5212,-1.4943259478997E-01
7.7645978900,0.0558,0.0277,3522.0508,340.5212,-1.2923010748192E-01
7.9864435440,0.0423,0.0211,3522.0508,340.5212,-1.1161154406820E-01
8.2082891980,0.0325,0.0163,3522.0508,340.5212,-9.6189692551610E-02
8.4301348520,0.0254,0.0129,3522.0508,340.5212,-8.2717048000059E-02
8.6519805060,0.0200,0.0102,3522.0508,340.5212,-7.1014767047472E-02
8.8738261600,0.0160,0.0082,3522.0508,340.5212,-6.0923256337892E-02
9.0956718140,0.0129,0.0067,3522.0508,340.5212,-5.2278145252387E-02
9.3175174680,0.0106,0.0055,3522.0508,340.5212,-4.4905891050548E-02
9.5393631220,0.0087,0.0046,3522.0508,340.5212,-3.8637359241781E-02
9.7612087760,0.0072,0.0038,3522.0508,340.5212,-3.3319907778857E-02
9.9830544300,0.0061,0.0032,3522.0508,340.5212,-2.8804965239228E-02
10.2049000840,0.0051,0.0027,3522.0508,340.5212,-2.4966673371110E-02
10.4267457380,0.0044,0.0024,3522.0508,340.5212,-2.1697587061153E-02
10.6485913920,0.0037,0.0020,3522.0508,340.5212,-1.8912615618613E-02
10.8704370460,0.0032,0.0017,3522.0508,340.5212,-1.6530616107023E-02
