cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.9847261728,28.3992,15.2525,524.9195,153.4528,-4.7942723132974E-01
5.3170412510,24.0564,13.4654,524.9195,153.4528,-4.0294058339481E-01
5.6493563291,21.7005,12.5916,524.9195,153.4528,-3.3040191602726E-01
5.9816714073,20.0117,11.9616,524.9195,153.4528,-2.6337155801587E-01
6.3139864855,18.0407,11.1558,524.9195,153.4528,-2.1002581972413E-01
6.6463015637,15.2462,9.8938,524.9195,153.4528,-1.7203403869033E-01
6.9786166419,11.7411,8.1265,524.9195,153.4528,-1.4662796896049E-01
7.3109317201,8.2043,6.0993,524.9195,153.4528,-1.3080428464866E-01
7.6432467983,5.3071,4.2018,524.9195,153.4528,-1.2204633212420E-01
7.9755618764,3.2867,2.7166,524.9195,153.4528,-1.1775533573401E-01
8.3078769546,2.0110,1.6994,524.9220,153.4545,-1.2242860507858E-01
8.6401920328,1.2416,1.0563,2826.4183,184.9786,-2.2257351841000E-01
8.9725071110,0.7820,0.6636,2851.6671,338.5682,-2.5923510451025E-01
9.3048221892,0.5048,0.4252,2851.6677,340.4727,-2.3804824123294E-01
9.6371372674,0.3344,0.2789,2851.6677,340.5163,-2.1284065439484E-01
9.9694523456,0.2273,0.1875,2851.6677,340.5201,-1.8708413482867E-01
10.3017674237,0.1583,0.1291,2851.6677,340.5208,-1.6296602431054E-01
10.6340825019,0.1128,0.0909,2851.6677,340.5210,-1.4149110312512E-01
10.9663975801,0.0820,0.0654,2851.6677,340.5211,-1.2275969071733E-01
11.2987126583,0.0607,0.0480,2851.6677,340.5212,-1.0644449156874E-01
11.6310277365,0.0458,0.0358,2851.6677,340.5212,-9.2158356597780E-02
11.9633428147,0.0350,0.0272,2851.6677,340.5212,-7.9600601372920E-02
12.2956578928,0.0272,0.0210,2851.6677,340.5212,-6.8577144462108E-02
12.6279729710,0.0215,0.0164,2851.6677,340.5212,-5.8946121220853E-02
12.9602880492,0.0172,0.0130,2851.6677,340.5212,-5.0596059808907E-02
13.2926031274,0.0139,0.0104,2851.6677,340.5212,-4.3407982573797E-02
13.6249182056,0.0113,0.0085,2851.6677,340.5212,-3.7256952724485E-02
13.9572332838,0.0093,0.0069,2851.6677,340.5212,-3.2020210797102E-02
14.2895483620,0.0078,0.0057,2851.6677,340.5212,-2.7571814338012E-02
14.6218634401,0.0065,0.0048,2851.6677,340.5212,-2.3795008367655E-02
14.9541785183,0.0054,0.0040,2851.6677,340.5212,-2.0585410851900E-02
15.2864935965,0.0046,0.0034,2851.6677,340.5212,-1.7860005941053E-02
15.6188086747,0.0039,0.0029,2851.6677,340.5212,-1.5538079177553E-02
15.9511237529,0.0034,0.0025,2851.6677,340.5212,-1.3554977052233E-02
16.2834388311,0.0029,0.0021,2851.6677,340.5212,-1.1860113299431E-02
