cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6203004850,24.9391,14.3824,440.5228,153.4528,-6.6588558745695E-02
2.7949871840,20.8824,12.5212,440.5228,153.4528,-5.2548620754302E-02
2.9696738830,17.7372,10.7686,440.5228,153.4528,-4.1584143828634E-02
3.1443605820,15.7480,9.4264,440.5228,153.4528,-3.4134212157859E-02
3.3190472810,14.3989,8.4727,440.5228,153.4528,-2.8811051869231E-02
3.4937339800,13.0324,7.5897,440.5228,153.4528,-2.4444163352462E-02
3.6684206790,11.1735,6.4803,440.5228,153.4528,-2.0748256831927E-02
3.8431073780,8.7574,5.0776,440.5228,153.4528,-1.7892263156171E-02
4.0177940770,6.2143,3.6081,440.5228,153.4528,-1.6029720785294E-02
4.1924807760,4.0793,2.3722,440.5228,153.4528,-1.5091953091212E-02
4.3671674750,2.5670,1.4947,440.5228,153.4939,-1.4788656884968E-02
4.5418541740,1.5970,0.9308,482.8839,264.6612,-1.9503499330162E-02
4.7165408730,1.0020,0.5844,2437.3908,339.9463,-5.5773298253521E-02
4.8912275720,0.6402,0.3737,2437.4539,340.4995,-5.2313189550440E-02
5.0659142710,0.4186,0.2445,2437.4539,340.5184,-4.7123128993550E-02
5.2406009700,0.2804,0.1640,2437.4539,340.5205,-4.1216654449633E-02
5.4152876690,0.1921,0.1124,2437.4539,340.5209,-3.5503973469770E-02
5.5899743680,0.1348,0.0790,2437.4539,340.5211,-3.0451623209385E-02
5.7646610670,0.0965,0.0567,2437.4539,340.5211,-2.6155661194134E-02
5.9393477660,0.0706,0.0415,2437.4539,340.5212,-2.2510413326210E-02
6.1140344650,0.0524,0.0308,2437.4539,340.5212,-1.9385838828586E-02
6.2887211640,0.0397,0.0234,2437.4539,340.5212,-1.6670090563400E-02
6.4634078630,0.0305,0.0180,2437.4539,340.5212,-1.4303124821589E-02
6.6380945620,0.0237,0.0140,2437.4539,340.5212,-1.2247312974969E-02
6.8127812610,0.0187,0.0111,2437.4539,340.5212,-1.0472059026955E-02
6.9874679600,0.0150,0.0089,2437.4539,340.5212,-8.9499333399297E-03
7.1621546590,0.0120,0.0072,2437.4539,340.5212,-7.6558576938194E-03
7.3368413580,0.0097,0.0058,2437.4539,340.5212,-6.5573448796430E-03
7.5115280570,0.0080,0.0048,2437.4539,340.5212,-5.6284717272610E-03
7.6862147560,0.0067,0.0040,2437.4539,340.5212,-4.8440397344330E-03
7.8609014550,0.0056,0.0034,2437.4539,340.5212,-4.1785708914833E-03
8.0355881540,0.0047,0.0029,2437.4539,340.5212,-3.6161996367028E-03
8.2102748530,0.0040,0.0025,2437.4539,340.5212,-3.1388661784819E-03
8.3849615520,0.0035,0.0021,2437.4539,340.5212,-2.7313082348651E-03
8.5596482510,0.0030,0.0018,2437.4539,340.5212,-2.3833008124463E-03
