cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2622319575,25.8083,14.6801,451.0845,153.4528,-5.3025985566826E-01
3.4797140880,22.1859,13.0698,451.0845,153.4528,-4.3727966045611E-01
3.6971962185,19.7339,12.0593,451.0845,153.4528,-3.5585245355989E-01
3.9146783490,17.6803,11.0498,451.0845,153.4528,-2.8696103083854E-01
4.1321604795,15.5858,9.7950,451.0845,153.4528,-2.3279755976858E-01
4.3496426100,13.1823,8.2548,451.0845,153.4528,-1.9281635805640E-01
4.5671247405,10.4438,6.4994,451.0845,153.4528,-1.6493993912519E-01
4.7846068710,7.6514,4.7191,451.0845,153.4528,-1.4684131782397E-01
5.0020890015,5.2003,3.1712,451.0845,153.4528,-1.3621069185336E-01
5.2195711320,3.3426,2.0177,451.3837,153.4528,-1.3063648438852E-01
5.4370532625,2.0886,1.2524,1061.8346,155.2098,-1.7055278426442E-01
5.6545353930,1.2999,0.7771,1137.3065,329.6682,-2.5575034029365E-01
5.8720175235,0.8188,0.4892,2210.7764,340.3901,-3.4118225697493E-01
6.0894996540,0.5265,0.3147,2363.8919,340.5126,-3.2162739344609E-01
6.3069817845,0.3466,0.2075,2365.7652,340.5196,-2.8722432372240E-01
6.5244639150,0.2338,0.1403,2365.8699,340.5207,-2.5148722646730E-01
6.7419460455,0.1615,0.0971,2365.8850,340.5210,-2.1796771813054E-01
6.9594281760,0.1142,0.0688,2365.8889,340.5211,-1.8830802649676E-01
7.1769103065,0.0824,0.0498,2365.8903,340.5212,-1.6269125252761E-01
7.3943924370,0.0606,0.0367,2365.8909,340.5212,-1.4059456839747E-01
7.6118745675,0.0454,0.0276,2365.8912,340.5212,-1.2139423765452E-01
7.8293566980,0.0346,0.0211,2365.8914,340.5212,-1.0460981197715E-01
8.0468388285,0.0268,0.0163,2365.8916,340.5212,-8.9931567666496E-02
8.2643209590,0.0210,0.0128,2365.8916,340.5212,-7.7154685987275E-02
8.4818030895,0.0166,0.0102,2365.8917,340.5212,-6.6108834919377E-02
8.6992852200,0.0133,0.0082,2365.8917,340.5212,-5.6630450904321E-02
8.9167673505,0.0108,0.0067,2365.8918,340.5212,-4.8542382360795E-02
9.1342494810,0.0089,0.0055,2365.8918,340.5212,-4.1668651508658E-02
9.3517316115,0.0074,0.0046,2365.8918,340.5212,-3.5839710558086E-02
9.5692137420,0.0061,0.0038,2365.8918,340.5212,-3.0900861022682E-02
9.7866958725,0.0052,0.0032,2365.8918,340.5212,-2.6716242155121E-02
10.0041780030,0.0044,0.0028,2365.8918,340.5212,-2.3160280175936E-02
10.2216601335,0.0037,0.0024,2365.8918,340.5212,-2.0134296467439E-02
10.4391422640,0.0032,0.0020,2365.8918,340.5212,-1.7553536938041E-02
10.6566243945,0.0028,0.0018,2365.8918,340.5212,-1.5348530029885E-02
