cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6717748900,23.2823,13.7983,451.0845,153.4528,-6.1636301196847E-02
2.8498932160,19.4076,11.9296,451.0845,153.4528,-4.7949871086360E-02
3.0280115420,16.7252,10.2543,451.0845,153.4528,-3.8133308625538E-02
3.2061298680,15.0787,9.0405,451.0845,153.4528,-3.1522230676712E-02
3.3842481940,13.7764,8.1165,451.0845,153.4528,-2.6605990217627E-02
3.5623665200,12.1772,7.1199,451.0845,153.4528,-2.2549798936391E-02
3.7404848460,9.9575,5.8205,451.0845,153.4528,-1.9280625901124E-02
3.9186031720,7.3395,4.3051,451.0845,153.4528,-1.6976809641469E-02
4.0967214980,4.9189,2.8971,451.0845,153.4528,-1.5681913807833E-02
4.2748398240,3.1021,1.8326,453.0339,153.4530,-1.5223271602517E-02
4.4529581500,1.9104,1.1307,1113.3578,164.5595,-2.6360091017463E-02
4.6310764760,1.1792,0.6987,1164.4492,337.1748,-3.5372694928324E-02
4.8091948020,0.7399,0.4388,2315.2764,340.4613,-5.1687423712665E-02
4.9873131280,0.4750,0.2819,2364.9818,340.5161,-4.7594782367239E-02
5.1654314540,0.3127,0.1857,2365.8167,340.5201,-4.1781822917130E-02
5.3435497800,0.2110,0.1254,2365.8765,340.5208,-3.5999461372299E-02
5.5216681060,0.1458,0.0867,2365.8866,340.5210,-3.0842293546074E-02
5.6997864320,0.1031,0.0614,2365.8894,340.5211,-2.6454852045635E-02
5.8779047580,0.0745,0.0444,2365.8905,340.5212,-2.2744554889724E-02
6.0560230840,0.0549,0.0328,2365.8910,340.5212,-1.9561810719923E-02
6.2341414100,0.0411,0.0245,2365.8913,340.5212,-1.6792715541755E-02
6.4122597360,0.0314,0.0188,2365.8915,340.5212,-1.4376475867815E-02
6.5903780620,0.0242,0.0145,2365.8916,340.5212,-1.2276899275087E-02
6.7684963880,0.0190,0.0114,2365.8917,340.5212,-1.0466265985698E-02
6.9466147140,0.0151,0.0091,2365.8917,340.5212,-8.9171906559894E-03
7.1247330400,0.0120,0.0073,2365.8917,340.5212,-7.6020882787959E-03
7.3028513660,0.0097,0.0059,2365.8918,340.5212,-6.4917515392458E-03
7.4809696920,0.0080,0.0048,2365.8918,340.5212,-5.5552804172701E-03
7.6590880180,0.0066,0.0040,2365.8918,340.5212,-4.7661487498288E-03
7.8372063440,0.0055,0.0034,2365.8918,340.5212,-4.0999328318914E-03
8.0153246700,0.0046,0.0028,2365.8918,340.5212,-3.5387936537897E-03
8.1934429960,0.0039,0.0024,2365.8918,340.5212,-3.0640089865408E-03
8.3715613220,0.0034,0.0021,2365.8918,340.5212,-2.6598257029625E-03
8.5496796480,0.0029,0.0018,2365.8918,340.5212,-2.3157129626952E-03
8.7277979740,0.0025,0.0016,2365.8918,340.5212,-2.0233241459370E-03
