cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7362965964,17.6462,18.9408,153.4528,239.0071,-4.0938881323118E-01
2.9187163695,14.9932,16.1839,153.4528,239.0071,-3.2993062838434E-01
3.1011361425,13.4082,14.2408,153.4528,239.0071,-2.6101373571502E-01
3.2835559156,12.3872,12.9075,153.4528,239.0071,-2.0941648618702E-01
3.4659756887,11.3837,11.7775,153.4528,239.0071,-1.7287125360161E-01
3.6483954618,9.9693,10.4020,153.4528,239.0071,-1.4686792826337E-01
3.8308152349,8.0112,8.5595,153.4528,239.0071,-1.2923509200859E-01
4.0132350080,5.8084,6.4201,153.4528,239.0071,-1.1911825098432E-01
4.1956547811,3.8517,4.4042,153.4528,379.2655,-1.3684433325059E-01
4.3780745542,2.4170,2.8339,153.4528,379.2655,-1.3541738674450E-01
4.5604943273,1.4863,1.7673,153.4996,379.2662,-1.3293729415227E-01
4.7429141004,0.9176,1.0972,273.7946,393.0789,-1.7802236801995E-01
4.9253338735,0.5765,0.6894,340.0129,591.0921,-2.2643027300414E-01
5.1077536466,0.3708,0.4422,340.5004,598.0131,-2.0270830496258E-01
5.2901734196,0.2446,0.2905,340.5184,598.1793,-1.7662806234435E-01
5.4725931927,0.1655,0.1956,340.5204,598.1940,-1.5226330801034E-01
5.6550129658,0.1147,0.1349,340.5209,598.1969,-1.3087726598555E-01
5.8374327389,0.0814,0.0952,340.5211,598.1977,-1.1252779311981E-01
6.0198525120,0.0590,0.0686,340.5211,598.1981,-9.6771126372772E-02
6.2022722851,0.0435,0.0504,340.5212,598.1983,-8.3129137965251E-02
6.3846920582,0.0327,0.0377,340.5212,598.1983,-7.1247442986410E-02
6.5671118313,0.0250,0.0287,340.5212,598.1984,-6.0908766958353E-02
6.7495316044,0.0194,0.0222,340.5212,598.1984,-5.1963599541741E-02
6.9319513775,0.0153,0.0174,340.5212,598.1985,-4.4285648039139E-02
7.1143711506,0.0122,0.0138,340.5212,598.1985,-3.7741384187937E-02
7.2967909236,0.0098,0.0111,340.5212,598.1985,-3.2193922249943E-02
7.4792106967,0.0080,0.0090,340.5212,598.1985,-2.7510809658502E-02
7.6616304698,0.0066,0.0074,340.5212,598.1985,-2.3561975465438E-02
7.8440502429,0.0055,0.0062,340.5212,598.1985,-2.0234416483032E-02
8.0264700160,0.0046,0.0051,340.5212,598.1985,-1.7428996189186E-02
8.2088897891,0.0039,0.0043,340.5212,598.1985,-1.5057223800184E-02
8.3913095622,0.0033,0.0036,340.5212,598.1985,-1.3047520238878E-02
8.5737293353,0.0028,0.0031,340.5212,598.1985,-1.1340536822380E-02
8.7561491084,0.0024,0.0027,340.5212,598.1985,-9.8859692044960E-03
8.9385688815,0.0021,0.0023,340.5212,598.1985,-8.6452982224877E-03
