cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.3548675183,18.2986,14.8951,153.4528,174.9969,-1.0716430250553E+00
5.7118586862,15.3658,13.5911,153.4528,174.9969,-8.9625104714730E-01
6.0688498541,13.6721,12.7283,153.4528,174.9969,-7.4063292522945E-01
6.4258410220,12.5603,11.8889,153.4528,174.9969,-6.0612203775981E-01
6.7828321898,11.4953,10.7716,153.4528,174.9969,-4.9493229967840E-01
7.1398233577,10.0438,9.1717,153.4528,174.9969,-4.0741108379380E-01
7.4968145256,8.0495,7.1525,153.4528,174.9969,-3.4144337781655E-01
7.8538056935,5.8117,5.0632,153.4528,174.9969,-2.9344997981257E-01
8.2107968614,3.8370,3.3055,153.4528,174.9969,-2.6056053952423E-01
8.5677880293,2.4004,2.0570,153.4528,174.9976,-2.4058010203217E-01
8.9247791972,1.4737,1.2606,153.5097,175.3126,-2.3110737222957E-01
9.2817703650,0.9094,0.7780,279.2507,186.8843,-3.6281331328488E-01
9.6387615329,0.5714,0.4895,340.0514,243.8072,-4.2069181295784E-01
9.9957527008,0.3677,0.3155,340.5014,294.8614,-4.2282318862832E-01
10.3527438687,0.2428,0.2087,340.5184,315.4184,-3.9946088325882E-01
10.7097350366,0.1644,0.1416,340.5205,323.4488,-3.6323227898305E-01
11.0667262045,0.1140,0.0984,340.5209,327.0806,-3.2281456984767E-01
11.4237173724,0.0809,0.0700,340.5211,328.9591,-2.8369836916607E-01
11.7807085403,0.0587,0.0508,340.5211,330.0339,-2.4844011327612E-01
12.1376997081,0.0434,0.0377,340.5212,330.6929,-2.1754316488390E-01
12.4946908760,0.0326,0.0284,340.5212,331.1219,-1.9050066771679E-01
12.8516820439,0.0249,0.0217,340.5212,331.4127,-1.6660507424968E-01
13.2086732118,0.0194,0.0169,340.5212,331.6169,-1.4531696838717E-01
13.5656643797,0.0152,0.0133,340.5212,331.7618,-1.2633070009995E-01
13.9226555476,0.0122,0.0106,340.5212,331.8679,-1.0949063556363E-01
14.2796467155,0.0098,0.0086,340.5212,331.9471,-9.4684424536642E-02
14.6366378833,0.0080,0.0070,340.5212,332.0080,-8.1777274897735E-02
14.9936290512,0.0066,0.0058,340.5212,332.0555,-7.0615536902636E-02
15.3506202191,0.0055,0.0048,340.5212,332.0918,-6.1019592938150E-02
15.7076113870,0.0046,0.0041,340.5212,332.1210,-5.2797371683175E-02
16.0646025549,0.0039,0.0034,340.5212,332.1446,-4.5771289597262E-02
16.4215937228,0.0033,0.0029,340.5212,332.1635,-3.9768379095144E-02
16.7785848907,0.0028,0.0025,340.5212,332.1785,-3.4637084268052E-02
17.1355760585,0.0025,0.0022,340.5212,332.1908,-3.0240535391380E-02
17.4925672264,0.0021,0.0019,340.5212,332.2020,-2.6471587051776E-02
