cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7643092007,7.4954,5.4284,153.4528,90.3985,-7.1069389328866E-02
4.0152631474,6.0001,3.6193,153.4528,90.3985,-6.0145387190196E-02
4.2662170941,5.0365,2.7724,153.4528,90.3985,-5.1856916508653E-02
4.5171710408,4.5161,2.3834,153.4528,90.3985,-4.4954703380168E-02
4.7681249875,4.2356,2.1880,153.4528,90.3985,-3.8603833516160E-02
5.0190789343,4.0369,2.0609,153.4528,90.3985,-3.2504024455100E-02
5.2700328810,3.8063,1.9302,153.4528,90.3985,-2.6971947962564E-02
5.5209868277,3.4525,1.7441,153.4528,90.3986,-2.2335290851160E-02
5.7719407744,2.9268,1.4757,153.4528,90.3993,-1.8595367029991E-02
6.0228947211,2.2744,1.1458,153.4528,90.4095,-1.5598114783000E-02
6.2738486678,1.6236,0.8181,153.4584,90.5390,-1.3229299024438E-02
6.5248026145,1.0890,0.5491,173.6919,91.1759,-1.1958839347363E-02
6.7757565613,0.7068,0.3569,336.7367,91.8685,-1.3844593401420E-02
7.0267105080,0.4548,0.2301,340.4443,92.1402,-1.2755687461778E-02
7.2776644547,0.2947,0.1495,340.5149,92.2322,-1.2023861890912E-02
7.5286184014,0.1939,0.0987,340.5200,92.2686,-1.1510764304818E-02
7.7795723481,0.1301,0.0664,340.5208,92.2856,-1.1003050046830E-02
8.0305262948,0.0891,0.0457,340.5210,92.2946,-1.0358355545249E-02
8.2814802415,0.0623,0.0321,340.5211,92.2997,-9.5541207153850E-03
8.5324341882,0.0444,0.0230,340.5212,92.3029,-8.6607456777499E-03
8.7833881350,0.0323,0.0168,340.5212,92.3049,-7.7732077985750E-03
9.0343420817,0.0239,0.0125,340.5212,92.3063,-6.9588821034138E-03
9.2852960284,0.0180,0.0095,340.5212,92.3072,-6.2414128225457E-03
9.5362499751,0.0138,0.0073,340.5212,92.3079,-5.6140302104327E-03
9.7872039218,0.0107,0.0057,340.5212,92.3084,-5.0572026844216E-03
10.0381578685,0.0084,0.0045,340.5212,92.3087,-4.5502485994653E-03
10.2891118152,0.0066,0.0036,340.5212,92.3090,-4.0807971071873E-03
10.5400657619,0.0053,0.0029,340.5212,92.3092,-3.6437221755931E-03
10.7910197087,0.0043,0.0024,340.5212,92.3093,-3.2386891253700E-03
11.0419736554,0.0036,0.0020,340.5212,92.3094,-2.8681110251310E-03
11.2929276021,0.0030,0.0017,340.5212,92.3095,-2.5325050207008E-03
11.5438815488,0.0025,0.0014,340.5212,92.3096,-2.2322738830940E-03
11.7948354955,0.0021,0.0012,340.5212,92.3097,-1.9660409950322E-03
12.0457894422,0.0018,0.0010,340.5212,92.3097,-1.7317074804631E-03
12.2967433889,0.0015,0.0009,340.5212,92.3098,-1.5262751684850E-03
