cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1904154400,18.1638,15.9548,153.4528,174.9969,-8.6925519548370E-02
2.3364431360,15.8516,14.4805,153.4528,174.9969,-7.2125132046666E-02
2.4824708320,14.5349,13.1989,153.4528,174.9969,-5.9137983278923E-02
2.6284985280,13.3674,11.6508,153.4528,174.9969,-4.8475529502543E-02
2.7745262240,11.8329,9.9314,153.4528,174.9969,-3.9446197685895E-02
2.9205539200,9.8229,8.2120,153.4528,174.9969,-3.2124021543517E-02
3.0665816160,7.5515,6.4455,153.4528,174.9969,-2.6761284258013E-02
3.2126093120,5.3418,4.6649,153.4528,174.9969,-2.3199184873332E-02
3.3586370080,3.5063,3.1090,153.4528,174.9969,-2.1008241226938E-02
3.5046647040,2.1936,1.9606,153.4528,174.9984,-1.9690100704619E-02
3.6506924000,1.3494,1.2100,153.8446,175.4617,-1.8849205128539E-02
3.7967200960,0.8347,0.7491,315.9233,189.5875,-2.7551942417342E-02
3.9427477920,0.5259,0.4717,340.2894,249.3314,-3.1035739687623E-02
4.0887754880,0.3394,0.3041,340.5085,297.5714,-3.2037060427136E-02
4.2348031840,0.2247,0.2010,340.5191,316.5079,-3.0844556309779E-02
4.3808308800,0.1526,0.1363,340.5206,323.9463,-2.8502634793227E-02
4.5268585760,0.1061,0.0947,340.5210,327.3495,-2.5624590486411E-02
4.6728862720,0.0756,0.0673,340.5211,329.1176,-2.2645481291124E-02
4.8189139680,0.0549,0.0489,340.5211,330.1348,-1.9846219776900E-02
4.9649416640,0.0407,0.0362,340.5212,330.7625,-1.7350590792745E-02
5.1109693600,0.0307,0.0273,340.5212,331.1708,-1.5170529012957E-02
5.2569970560,0.0236,0.0210,340.5212,331.4459,-1.3263857145151E-02
5.4030247520,0.0183,0.0162,340.5212,331.6440,-1.1581875256710E-02
5.5490524480,0.0144,0.0128,340.5212,331.7817,-1.0088506146789E-02
5.6950801440,0.0115,0.0102,340.5212,331.8836,-8.7648085716202E-03
5.8411078400,0.0094,0.0083,340.5212,331.9593,-7.5961901587883E-03
5.9871355360,0.0077,0.0068,340.5212,332.0168,-6.5730578317189E-03
6.1331632320,0.0063,0.0056,340.5212,332.0636,-5.6849528668275E-03
6.2791909280,0.0053,0.0047,340.5212,332.0982,-4.9177146313642E-03
6.4252186240,0.0044,0.0039,340.5212,332.1256,-4.2587073969978E-03
6.5712463200,0.0037,0.0033,340.5212,332.1491,-3.6944760951730E-03
6.7172740160,0.0032,0.0028,340.5212,332.1667,-3.2113025143422E-03
6.8633017120,0.0028,0.0025,340.5212,332.1812,-2.7978284554523E-03
7.0093294080,0.0024,0.0021,340.5212,332.1930,-2.4428647339837E-03
7.1553571040,0.0020,0.0018,340.5212,332.2044,-2.1388969920128E-03
