cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7895395800,12.6908,13.3050,153.4528,151.6886,-4.8727321200029E-01
4.0421755520,9.1151,10.0117,153.4528,151.6886,-4.0361774326748E-01
4.2948115240,6.6945,7.3944,153.4528,151.6886,-3.4193155578612E-01
4.5474474960,5.3618,5.7782,153.4528,151.6886,-2.9800826776956E-01
4.8000834680,4.6775,4.9107,153.4528,151.6886,-2.6152300288799E-01
5.0527194400,4.2882,4.4431,153.4528,151.6886,-2.2551936378682E-01
5.3053554120,3.9777,4.1367,153.4528,151.6887,-1.9049451898764E-01
5.5579913840,3.6055,3.8435,153.4528,151.6892,-1.5957058063838E-01
5.8106273560,3.0911,3.4726,153.4528,151.6999,-1.3426597629014E-01
6.0632633280,2.4478,2.9920,153.4528,152.1610,-1.1459947547288E-01
6.3158993000,1.7831,2.4336,153.4533,166.3100,-1.0495588512229E-01
6.5685352720,1.2161,1.8650,156.5238,175.6341,-9.6846249922657E-02
6.8211712440,0.7982,1.3530,325.7714,179.4632,-1.1849919081892E-01
7.0738072160,0.5170,0.9398,340.3194,180.8825,-1.1193814219713E-01
7.3264431880,0.3361,0.6356,340.5091,183.3486,-1.0520021496999E-01
7.5790791600,0.2215,0.4255,340.5192,187.6550,-9.9065078149332E-02
7.8317151320,0.1488,0.2855,340.5206,189.9352,-9.1583259950596E-02
8.0843511040,0.1019,0.1937,340.5210,190.7691,-8.3203714589081E-02
8.3369870760,0.0713,0.1333,340.5211,191.1010,-7.4862299103052E-02
8.5896230480,0.0509,0.0934,340.5212,191.2548,-6.7172179928963E-02
8.8422590200,0.0370,0.0666,340.5212,191.3355,-6.0330292910995E-02
9.0948949920,0.0274,0.0483,340.5212,191.3820,-5.4251412897917E-02
9.3475309640,0.0207,0.0357,340.5212,191.4106,-4.8759418056601E-02
9.6001669360,0.0158,0.0267,340.5212,191.4292,-4.3717118526805E-02
9.8528029080,0.0123,0.0204,340.5212,191.4418,-3.9062726043642E-02
10.1054388800,0.0097,0.0157,340.5212,191.4505,-3.4790572018194E-02
10.3580748520,0.0077,0.0123,340.5212,191.4568,-3.0914041393639E-02
10.6107108240,0.0062,0.0098,340.5212,191.4614,-2.7432055966154E-02
10.8633467960,0.0051,0.0078,340.5212,191.4648,-2.4329223842788E-02
11.1159827680,0.0042,0.0063,340.5212,191.4673,-2.1575547845297E-02
11.3686187400,0.0034,0.0052,340.5212,191.4693,-1.9133863872268E-02
11.6212547120,0.0029,0.0043,340.5212,191.4709,-1.6967537129796E-02
11.8738906840,0.0024,0.0036,340.5212,191.4721,-1.5045053180603E-02
12.1265266560,0.0021,0.0030,340.5212,191.4731,-1.3340183723453E-02
12.3791626280,0.0018,0.0025,340.5212,191.4738,-1.1829183907168E-02
