cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6209236600,16.9174,17.7949,153.4528,336.8727,-2.7081448208220E-01
2.7956519040,14.7762,15.4074,153.4528,336.8727,-2.1300696826588E-01
2.9703801480,13.3607,13.8457,153.4528,336.8727,-1.6952277187175E-01
3.1451083920,12.2201,12.6382,153.4528,336.8727,-1.3686832653529E-01
3.3198366360,10.9620,11.4077,153.4528,336.8727,-1.1242601918366E-01
3.4945648800,9.3033,9.7998,153.4528,336.8727,-9.5276768868071E-02
3.6692931240,7.2684,7.7319,153.4528,336.8727,-8.4671502497332E-02
3.8440213680,5.1730,5.5237,153.4528,336.8727,-7.9478528803216E-02
4.0187496120,3.3964,3.6270,153.4528,346.3610,-7.9556522408215E-02
4.1934778560,2.1218,2.2638,153.4528,346.3610,-8.0024202314222E-02
4.3682061000,1.3032,1.3892,154.2542,346.4177,-7.9633502418903E-02
4.5429343440,0.8052,0.8576,324.2261,382.9298,-1.1140793840873E-01
4.7176625880,0.5067,0.5394,340.3490,391.0689,-1.0481216047300E-01
4.8923908320,0.3266,0.3475,340.5108,391.1408,-9.1817937107448E-02
5.0671190760,0.2160,0.2297,340.5194,391.1441,-7.8887348942580E-02
5.2418473200,0.1466,0.1558,340.5207,391.1446,-6.7414943264041E-02
5.4165755640,0.1019,0.1083,340.5210,391.1447,-5.7672074887788E-02
5.5913038080,0.0725,0.0770,340.5211,391.1447,-4.9410616101670E-02
5.7660320520,0.0526,0.0558,340.5212,391.1448,-4.2300741404989E-02
5.9407602960,0.0390,0.0413,340.5212,391.1448,-3.6113904718227E-02
6.1154885400,0.0294,0.0311,340.5212,391.1448,-3.0727077891301E-02
6.2902167840,0.0225,0.0238,340.5212,391.1448,-2.6073435575321E-02
6.4649450280,0.0175,0.0185,340.5212,391.1448,-2.2094002574478E-02
6.6396732720,0.0138,0.0146,340.5212,391.1448,-1.8720609998303E-02
6.8144015160,0.0110,0.0117,340.5212,391.1448,-1.5878696912554E-02
6.9891297600,0.0089,0.0094,340.5212,391.1448,-1.3495451396271E-02
7.1638580040,0.0073,0.0077,340.5212,391.1448,-1.1498736735880E-02
7.3385862480,0.0060,0.0064,340.5212,391.1448,-9.8276045008491E-03
7.5133144920,0.0050,0.0053,340.5212,391.1448,-8.4252206363186E-03
7.6880427360,0.0042,0.0044,340.5212,391.1448,-7.2464231209394E-03
7.8627709800,0.0035,0.0037,340.5212,391.1448,-6.2536837461263E-03
8.0374992240,0.0030,0.0032,340.5212,391.1448,-5.4143847895017E-03
8.2122274680,0.0026,0.0027,340.5212,391.1448,-4.7028864523482E-03
8.3869557120,0.0022,0.0023,340.5212,391.1448,-4.0976320758854E-03
8.5616839560,0.0019,0.0020,340.5212,391.1448,-3.5809511849912E-03
