cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.6670571900,10.7139,15.3682,153.4528,417.3790,-4.1358198486388E-01
4.9781943360,8.2963,11.6142,153.4528,417.3790,-3.4043071056524E-01
5.2893314820,6.7239,8.8545,153.4528,417.3790,-2.8845605960228E-01
5.6004686280,5.8080,7.0549,153.4528,417.3790,-2.4866465676328E-01
5.9116057740,5.2157,5.9418,153.4528,417.3790,-2.1481159407463E-01
6.2227429200,4.6599,5.1542,153.4528,417.3790,-1.8428549208863E-01
6.5338800660,3.9705,4.4057,153.4528,417.3790,-1.5738649661219E-01
6.8450172120,3.1345,3.5681,153.4528,417.3834,-1.3528304022272E-01
7.1561543580,2.2738,2.6786,153.4528,421.4442,-1.1899717006219E-01
7.4672915040,1.5338,1.8639,153.4752,448.7683,-1.1052015869233E-01
7.7784286500,0.9868,1.2258,224.0331,470.0487,-1.2303546776263E-01
8.0895657960,0.6224,0.7829,339.4859,475.0907,-1.4107561631048E-01
8.4007029420,0.3932,0.4973,340.4917,482.7478,-1.3382507820861E-01
8.7118400880,0.2519,0.3191,340.5180,488.7626,-1.2501301326727E-01
9.0229772340,0.1648,0.2085,340.5204,490.9266,-1.1394432512448E-01
9.3341143800,0.1103,0.1392,340.5209,491.7132,-1.0163039302414E-01
9.6452515260,0.0756,0.0951,340.5211,492.0534,-8.9321260277808E-02
9.9563886720,0.0530,0.0665,340.5212,492.2242,-7.7931854274724E-02
10.2675258180,0.0379,0.0475,340.5212,492.3193,-6.7852695996477E-02
10.5786629640,0.0277,0.0346,340.5212,492.3766,-5.9087217389660E-02
10.8898001100,0.0206,0.0257,340.5212,492.4133,-5.1463049177567E-02
11.2009372560,0.0156,0.0194,340.5212,492.4378,-4.4792343144073E-02
11.5120744020,0.0120,0.0149,340.5212,492.4547,-3.8924034488711E-02
11.8232115480,0.0094,0.0116,340.5212,492.4666,-3.3757525069320E-02
12.1343486940,0.0074,0.0092,340.5212,492.4753,-2.9226851764403E-02
12.4454858400,0.0059,0.0073,340.5212,492.4817,-2.5274685093666E-02
12.7566229860,0.0048,0.0059,340.5212,492.4865,-2.1846673416082E-02
13.0677601320,0.0040,0.0048,340.5212,492.4902,-1.8887797884019E-02
13.3788972780,0.0033,0.0040,340.5212,492.4931,-1.6342074365003E-02
13.6900344240,0.0027,0.0033,340.5212,492.4954,-1.4157938952387E-02
14.0011715700,0.0023,0.0028,340.5212,492.4972,-1.2286754762863E-02
14.3123087160,0.0019,0.0024,340.5212,492.4986,-1.0684930932821E-02
14.6234458620,0.0017,0.0020,340.5212,492.4997,-9.3134194636391E-03
14.9345830080,0.0014,0.0017,340.5212,492.5007,-8.1363919996714E-03
15.2457201540,0.0012,0.0015,340.5212,492.5015,-7.1261313322826E-03
