cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.4904425225,14.6595,18.3646,85.3197,533.8810,-4.1191704566362E-02
2.6564720240,13.1309,15.7941,85.3197,533.8810,-3.3562033548802E-02
2.8225015255,12.1019,13.9883,85.3197,533.8810,-2.7228453686004E-02
2.9885310270,10.9907,12.6532,85.3197,533.8810,-2.2277487534390E-02
3.1545605285,9.4794,11.3429,85.3197,533.8810,-1.8470175150160E-02
3.3205900300,7.5745,9.6229,85.3197,533.8810,-1.5554531312940E-02
3.4866195315,5.5168,7.4184,85.3197,533.8810,-1.3350428647361E-02
3.6526490330,3.6667,5.1424,85.3197,533.8810,-1.1767721080253E-02
3.8186785345,2.2852,3.2874,85.3200,533.9265,-1.0740890421159E-02
3.9847080360,1.3853,2.0168,85.6648,565.4350,-1.0600033275461E-02
4.1507375375,0.8407,1.2276,111.6751,590.5201,-1.1449202719258E-02
4.3167670390,0.5191,0.7565,400.1729,596.4962,-1.7883792373289E-02
4.4827965405,0.3285,0.4764,817.3867,606.3332,-2.3760919408035E-02
4.6488260420,0.2136,0.3078,995.4930,612.9530,-2.3919181027247E-02
4.8148555435,0.1427,0.2043,1061.5531,615.2534,-2.1867276047287E-02
4.9808850450,0.0978,0.1391,1090.1855,616.1112,-1.9323397362446E-02
5.1469145465,0.0687,0.0970,1104.5199,616.4929,-1.6867852564062E-02
5.3129440480,0.0494,0.0692,1112.5205,616.6888,-1.4664886663831E-02
5.4789735495,0.0362,0.0504,1117.3773,616.8009,-1.2726397163347E-02
5.6450030510,0.0270,0.0374,1120.4787,616.8696,-1.1017207607109E-02
5.8110325525,0.0205,0.0283,1122.5498,616.9142,-9.5072157044040E-03
5.9770620540,0.0159,0.0217,1123.9782,616.9442,-8.1754514712958E-03
6.1430915555,0.0124,0.0168,1125.0255,616.9658,-7.0095806772434E-03
6.3091210570,0.0098,0.0133,1125.7635,616.9808,-5.9994419492057E-03
6.4751505585,0.0079,0.0106,1126.3266,616.9921,-5.1311478287843E-03
6.6411800600,0.0064,0.0086,1126.7401,617.0003,-4.3907969284108E-03
6.8072095615,N/A,N/A,N/A,N/A,N/A
6.9732390630,N/A,N/A,N/A,N/A,N/A
7.1392685645,N/A,N/A,N/A,N/A,N/A
7.3052980660,N/A,N/A,N/A,N/A,N/A
7.4713275675,N/A,N/A,N/A,N/A,N/A
7.6373570690,N/A,N/A,N/A,N/A,N/A
7.8033865705,N/A,N/A,N/A,N/A,N/A
7.9694160720,N/A,N/A,N/A,N/A,N/A
8.1354455735,N/A,N/A,N/A,N/A,N/A
