cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.2957048275,23.3444,7.1657,85.3197,7.1341,-4.7938978217418E-02
2.4487518160,19.8237,5.7315,85.3197,7.1341,-3.9851627215984E-02
2.6017988045,17.7728,4.9414,85.3197,7.1341,-3.2658717801157E-02
2.7548457930,16.3564,4.5022,85.3197,7.1341,-2.6636658652320E-02
2.9078927815,14.8777,4.2661,85.3197,7.1341,-2.1778128333472E-02
3.0609397700,12.9099,4.1322,85.3197,7.1341,-1.7898620704658E-02
3.2139867585,10.5362,4.0315,85.3197,7.1341,-1.4905538811960E-02
3.3670337470,8.2498,3.9104,85.3197,7.1341,-1.2733531886981E-02
3.5200807355,6.4141,3.7139,85.3197,7.1341,-1.1265358830508E-02
3.6731277240,5.0211,3.3883,85.3197,7.1341,-1.0325041038997E-02
3.8261747125,3.8968,2.9084,85.3197,7.1341,-9.6995790088840E-03
3.9792217010,2.9252,2.3164,85.3197,7.1341,-9.1995613573733E-03
4.1322686895,2.0984,1.7141,85.3209,7.1342,-8.7275272059896E-03
4.2853156780,1.4475,1.1982,85.5310,7.1426,-8.2851647087284E-03
4.4383626665,0.9757,0.8097,94.1938,7.3119,-8.3974623986251E-03
4.5914096550,0.6535,0.5400,205.1744,8.1384,-1.3615735057500E-02
4.7444566435,0.4401,0.3606,572.0569,9.0039,-2.7446836920085E-02
4.8975036320,0.3002,0.2433,870.0384,9.3699,-3.4820055169157E-02
5.0505506205,0.2081,0.1666,1001.6540,9.5067,-3.4792886632130E-02
5.2035976090,0.1469,0.1160,1058.4331,9.5651,-3.2105265170687E-02
5.3566445975,0.1056,0.0822,1085.8144,9.5939,-2.8740249761337E-02
5.5096915860,0.0773,0.0593,1100.5694,9.6097,-2.5382676469348E-02
5.6627385745,0.0576,0.0435,1109.2634,9.6191,-2.2264700687050E-02
5.8157855630,0.0436,0.0325,1114.7070,9.6251,-1.9453209247145E-02
5.9688325515,0.0335,0.0245,1118.3103,9.6291,-1.6954417611182E-02
6.1218795400,0.0260,0.0188,1120.8007,9.6318,-1.4749726408619E-02
6.2749265285,N/A,N/A,N/A,N/A,N/A
6.4279735170,N/A,N/A,N/A,N/A,N/A
6.5810205055,N/A,N/A,N/A,N/A,N/A
6.7340674940,N/A,N/A,N/A,N/A,N/A
6.8871144825,N/A,N/A,N/A,N/A,N/A
7.0401614710,N/A,N/A,N/A,N/A,N/A
7.1932084595,N/A,N/A,N/A,N/A,N/A
7.3462554480,N/A,N/A,N/A,N/A,N/A
7.4993024365,N/A,N/A,N/A,N/A,N/A
