cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1609420875,12.5359,17.4227,85.3197,358.4995,-6.6320567788759E-02
3.3716715600,10.2697,14.4181,85.3197,358.4995,-5.1942925626993E-02
3.5824010325,8.7671,11.2537,85.3197,358.4995,-4.2170848792663E-02
3.7931305050,7.6830,8.8119,85.3197,358.4995,-3.6244769419724E-02
4.0038599775,6.7720,7.2356,85.3197,358.4995,-3.2339800587616E-02
4.2145894500,5.8855,6.0914,85.3197,358.4995,-2.8992962297376E-02
4.4253189225,4.8712,4.9771,85.3197,358.4995,-2.5861528733679E-02
4.6360483950,3.7068,3.7680,85.3197,358.4995,-2.3351078953757E-02
4.8467778675,2.5713,2.6093,85.3197,358.4995,-2.1653725407404E-02
5.0575073400,1.6634,1.6882,85.3581,358.4990,-2.0433080774213E-02
5.2682368125,1.0394,1.0561,90.6604,358.4236,-1.9479324448828E-02
5.4789662850,0.6456,0.6572,212.8020,357.0580,-2.3769603063211E-02
5.6896957575,0.4058,0.4141,651.0761,354.1674,-3.4159519104149E-02
5.9004252300,0.2604,0.2664,934.3840,352.8505,-3.5441892006152E-02
6.1111547025,0.1711,0.1755,1038.5686,352.4270,-3.2022834024555E-02
6.3218841750,0.1152,0.1185,1080.1487,352.2666,-2.7911477571386E-02
6.5326136475,0.0795,0.0820,1099.5498,352.1935,-2.4092005371256E-02
6.7433431200,0.0561,0.0580,1109.8774,352.1551,-2.0712117646106E-02
6.9540725925,0.0404,0.0420,1115.8593,352.1331,-1.7737383459294E-02
7.1648020650,0.0298,0.0310,1119.5692,352.1194,-1.5130023600561E-02
7.3755315375,0.0223,0.0233,1122.0010,352.1105,-1.2862918704957E-02
7.5862610100,0.0169,0.0177,1123.6591,352.1045,-1.0912904089487E-02
7.7969904825,0.0131,0.0138,1124.8048,352.1003,-9.2540961400151E-03
8.0077199550,0.0103,0.0108,1125.6314,352.0972,-7.8522353059742E-03
8.2184494275,0.0082,0.0086,1126.2441,352.0950,-6.6751572956846E-03
8.4291789000,0.0065,0.0069,1126.7104,352.0933,-5.6874157868495E-03
8.6399083725,N/A,N/A,N/A,N/A,N/A
8.8506378450,N/A,N/A,N/A,N/A,N/A
9.0613673175,N/A,N/A,N/A,N/A,N/A
9.2720967900,N/A,N/A,N/A,N/A,N/A
9.4828262625,N/A,N/A,N/A,N/A,N/A
9.6935557350,N/A,N/A,N/A,N/A,N/A
9.9042852075,N/A,N/A,N/A,N/A,N/A
10.1150146800,N/A,N/A,N/A,N/A,N/A
10.3257441525,N/A,N/A,N/A,N/A,N/A
