cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8614389261,16.2650,17.3059,85.3197,175.5616,-8.0158543931658E-02
4.1188681879,14.6455,15.3625,85.3197,175.5616,-6.3072120175222E-02
4.3762974496,13.3397,14.1439,85.3197,175.5616,-5.0367722903494E-02
4.6337267113,11.8412,12.8859,85.3197,175.5616,-4.1591444049585E-02
4.8911559731,10.1434,11.2158,85.3197,175.5616,-3.6146294280406E-02
5.1485852348,8.3799,9.1326,85.3197,175.5616,-3.3166256495119E-02
5.4060144966,6.5592,6.8658,85.3197,175.5616,-3.1726400274687E-02
5.6634437583,4.7479,4.7427,85.3197,175.5616,-3.0946797512001E-02
5.9208730200,3.1743,3.0532,85.3197,175.5623,-2.9856470895296E-02
6.1783022818,2.0094,1.8880,85.3222,181.9575,-2.8373650638846E-02
6.4357315435,1.2432,1.1553,86.3806,422.8629,-4.2696183209517E-02
6.6931608053,0.7705,0.7141,131.9815,480.3325,-4.6907846947937E-02
6.9505900670,0.4852,0.4506,470.5762,574.6813,-7.4548368852632E-02
7.2080193288,0.3126,0.2916,847.6485,635.8108,-8.8703724501216E-02
7.4654485905,0.2065,0.1936,1003.4757,658.3034,-8.4088253559593E-02
7.7228778522,0.1399,0.1320,1063.6526,667.1272,-7.4428138434990E-02
7.9803071140,0.0970,0.0921,1090.6130,671.2001,-6.4255850743183E-02
8.2377363757,0.0688,0.0657,1104.4849,673.3475,-5.4821307726867E-02
8.4951656375,0.0499,0.0479,1112.3297,674.5835,-4.6489111118049E-02
8.7525948992,0.0369,0.0356,1117.1275,675.3499,-3.9314445060933E-02
9.0100241609,0.0278,0.0270,1120.2282,675.8503,-3.3216108857357E-02
9.2674534227,0.0212,0.0207,1122.3367,676.1939,-2.8072866954548E-02
9.5248826844,0.0165,0.0161,1123.7980,676.4344,-2.3750828429625E-02
9.7823119462,0.0130,0.0127,1124.8510,676.6089,-2.0129069743665E-02
10.0397412079,0.0103,0.0102,1125.6205,676.7361,-1.7098764205327E-02
10.2971704696,0.0084,0.0083,1126.1887,676.8309,-1.4562564269649E-02
10.5545997314,N/A,N/A,N/A,N/A,N/A
10.8120289931,N/A,N/A,N/A,N/A,N/A
11.0694582549,N/A,N/A,N/A,N/A,N/A
11.3268875166,N/A,N/A,N/A,N/A,N/A
11.5843167784,N/A,N/A,N/A,N/A,N/A
11.8417460401,N/A,N/A,N/A,N/A,N/A
12.0991753018,N/A,N/A,N/A,N/A,N/A
12.3566045636,N/A,N/A,N/A,N/A,N/A
12.6140338253,N/A,N/A,N/A,N/A,N/A
