cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.2197587175,23.1418,18.1961,85.3197,265.8746,-6.7559382015646E-02
2.3677426320,18.9691,15.7752,85.3197,265.8746,-5.7421398110058E-02
2.5157265465,16.4356,14.4004,85.3197,265.8746,-4.8377602455476E-02
2.6637104610,14.9984,13.1612,85.3197,265.8746,-4.0427657994787E-02
2.8116943755,13.9328,11.7045,85.3197,265.8746,-3.3383702191789E-02
2.9596782900,12.7013,10.1392,85.3197,265.8746,-2.7386567441216E-02
3.1076622045,11.0266,8.6268,85.3197,265.8746,-2.2740550568656E-02
3.2556461190,8.9491,7.1050,85.3197,265.8746,-1.9455997956207E-02
3.4036300335,6.7352,5.4993,85.3197,265.8746,-1.7272437859368E-02
3.5516139480,4.7094,3.9383,85.3197,266.0604,-1.5831853856860E-02
3.6995978625,3.1096,2.6398,85.3197,286.9519,-1.5648485541398E-02
3.8475817770,1.9893,1.7019,85.3226,286.9545,-1.4629445580763E-02
3.9955656915,1.2624,1.0835,86.2312,310.9493,-1.4520309227207E-02
4.1435496060,0.8077,0.6936,119.7823,597.4855,-2.3855252605792E-02
4.2915335205,0.5256,0.4511,387.5226,608.1975,-3.2821074613852E-02
4.4395174350,0.3494,0.2995,775.2208,608.4721,-4.1439157917275E-02
4.5875013495,0.2375,0.2032,966.1471,608.4965,-4.2475765885080E-02
4.7354852640,0.1651,0.1411,1043.7332,608.5011,-3.9915368014898E-02
4.8834691785,0.1172,0.0999,1078.9037,608.5025,-3.6152642831805E-02
5.0314530930,0.0849,0.0723,1096.9335,608.5030,-3.2195007461814E-02
5.1794370075,0.0627,0.0533,1107.1436,608.5033,-2.8467929593475E-02
5.3274209220,0.0470,0.0400,1113.4262,608.5034,-2.5116215595904E-02
5.4754048365,0.0358,0.0304,1117.5098,608.5035,-2.2142847505783E-02
5.6233887510,0.0277,0.0235,1120.2538,608.5036,-1.9501546287888E-02
5.7713726655,0.0218,0.0184,1122.1660,608.5036,-1.7143587928951E-02
5.9193565800,0.0173,0.0147,1123.5425,608.5036,-1.5030198688017E-02
6.0673404945,0.0140,0.0118,1124.5564,608.5037,-1.3144227412005E-02
6.2153244090,0.0113,0.0096,1125.3393,608.5037,-1.1469665543912E-02
6.3633083235,0.0093,0.0079,1125.9192,608.5037,-9.9950124748768E-03
6.5112922380,0.0077,0.0065,1126.3876,608.5037,-8.7062567722219E-03
6.6592761525,0.0064,0.0054,1126.7389,608.5037,-7.5866849383593E-03
6.8072600670,0.0054,0.0046,1127.0180,608.5037,-6.6177832125904E-03
6.9552439815,0.0046,0.0039,1127.2420,608.5037,-5.7805509755374E-03
7.1032278960,0.0039,0.0033,1127.4423,608.5037,-5.0577451057336E-03
7.2512118105,0.0034,0.0029,1127.5896,608.5037,-4.4356612463077E-03
