cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.9892254875,22.9357,21.1313,85.3197,244.6586,-6.3593218098381E-02
2.1218405200,18.5940,17.7045,85.3197,244.6586,-5.3497810626134E-02
2.2544555525,15.7199,15.2765,85.3197,244.6586,-4.4507064950244E-02
2.3870705850,13.9299,13.6569,85.3197,244.6586,-3.6415750820617E-02
2.5196856175,12.8460,12.5646,85.3197,244.6586,-2.9709858603706E-02
2.6523006500,12.0104,11.5515,85.3197,244.6586,-2.4522275780870E-02
2.7849156825,11.0200,10.2177,85.3197,244.6586,-2.0459680549552E-02
2.9175307150,9.5928,8.3927,85.3197,244.6586,-1.7205028279450E-02
3.0501457475,7.7064,6.2817,85.3197,244.6586,-1.4730487213490E-02
3.1827607800,5.6616,4.3168,85.3197,244.6586,-1.3067218505401E-02
3.3153758125,3.8595,2.8004,85.3197,247.9976,-1.2259654266285E-02
3.4479908450,2.5117,1.7697,85.3197,331.9202,-1.4645006857743E-02
3.5806058775,1.6047,1.1159,85.3808,354.4837,-1.5276550919045E-02
3.7132209100,1.0268,0.7123,91.2235,701.6637,-2.5696689263327E-02
3.8458359425,0.6657,0.4636,194.1660,713.6539,-3.0547364172070E-02
3.9784509750,0.4399,0.3086,572.4893,713.9153,-4.1391028131499E-02
4.1110660075,0.2969,0.2101,875.7459,713.9366,-4.5311937493014E-02
4.2436810400,0.2048,0.1464,1005.3112,713.9404,-4.3129027591124E-02
4.3762960725,0.1443,0.1042,1060.3840,713.9415,-3.9072153389825E-02
4.5089111050,0.1037,0.0756,1086.9083,713.9419,-3.4850903615292E-02
4.6415261375,0.0760,0.0559,1101.2168,713.9421,-3.0974145344813E-02
4.7741411700,0.0566,0.0421,1109.6646,713.9422,-2.7506147798298E-02
4.9067562025,0.0429,0.0321,1114.9707,713.9423,-2.4382175662556E-02
5.0393712350,0.0329,0.0249,1118.4934,713.9423,-2.1537805607736E-02
5.1719862675,0.0257,0.0196,1120.9222,713.9424,-1.8939121147448E-02
5.3046013000,0.0203,0.0156,1122.6388,713.9424,-1.6580755482130E-02
5.4372163325,N/A,N/A,N/A,N/A,N/A
5.5698313650,N/A,N/A,N/A,N/A,N/A
5.7024463975,N/A,N/A,N/A,N/A,N/A
5.8350614300,N/A,N/A,N/A,N/A,N/A
5.9676764625,N/A,N/A,N/A,N/A,N/A
6.1002914950,N/A,N/A,N/A,N/A,N/A
6.2329065275,N/A,N/A,N/A,N/A,N/A
6.3655215600,N/A,N/A,N/A,N/A,N/A
6.4981365925,N/A,N/A,N/A,N/A,N/A
