cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1040374260,19.3948,14.1512,85.3197,125.8109,-3.1248488182708E-02
2.2443065877,14.3421,11.1360,85.3197,125.8109,-2.6086754433350E-02
2.3845757494,11.1429,8.8232,85.3197,125.8109,-2.2753811454800E-02
2.5248449112,9.4047,7.0677,85.3197,125.8109,-1.9992197743947E-02
2.6651140729,8.3255,5.7836,85.3197,125.8109,-1.7069909660119E-02
2.8053832346,7.3714,4.9309,85.3197,125.8109,-1.4229947714526E-02
2.9456523964,6.3304,4.3485,85.3197,125.8109,-1.1927345885752E-02
3.0859215581,5.2307,3.8396,85.3197,125.8109,-1.0247238283342E-02
3.2261907198,4.1498,3.2628,85.3197,125.8109,-9.0347862974214E-03
3.3664598816,3.1276,2.5865,85.3197,125.8117,-8.1262537485108E-03
3.5067290433,2.2211,1.8937,85.3202,126.0130,-7.4247425958084E-03
3.6469982050,1.4988,1.2981,85.4606,130.0852,-6.9868406347553E-03
3.7872673668,0.9810,0.8552,93.8278,131.1288,-6.7924365426688E-03
3.9275365285,0.6363,0.5553,222.4354,132.1540,-9.3556180880522E-03
4.0678056902,0.4151,0.3616,629.7502,133.2400,-1.5389322963921E-02
4.2080748520,0.2749,0.2387,912.2234,133.6641,-1.7566786152830E-02
4.3483440137,0.1856,0.1605,1025.0632,133.8126,-1.6852822412187E-02
4.4886131754,0.1279,0.1100,1071.9870,133.8739,-1.5288279941974E-02
4.6288823372,0.0900,0.0771,1094.3236,133.9035,-1.3591781199366E-02
4.7691514989,0.0645,0.0550,1106.3363,133.9196,-1.1989322591511E-02
4.9094206606,0.0472,0.0401,1113.3368,133.9291,-1.0542320715424E-02
5.0496898224,0.0352,0.0297,1117.7120,133.9351,-9.2518467999977E-03
5.1899589841,0.0267,0.0224,1120.5900,133.9390,-8.1017808876447E-03
5.3302281458,0.0205,0.0172,1122.5652,133.9417,-7.0760159411993E-03
5.4704973075,0.0160,0.0133,1123.9518,133.9436,-6.1640293754507E-03
5.6107664693,0.0126,0.0105,1124.9506,133.9450,-5.3570766519556E-03
5.7510356310,N/A,N/A,N/A,N/A,N/A
5.8913047927,N/A,N/A,N/A,N/A,N/A
6.0315739545,N/A,N/A,N/A,N/A,N/A
6.1718431162,N/A,N/A,N/A,N/A,N/A
6.3121122779,N/A,N/A,N/A,N/A,N/A
6.4523814397,N/A,N/A,N/A,N/A,N/A
6.5926506014,N/A,N/A,N/A,N/A,N/A
6.7329197631,N/A,N/A,N/A,N/A,N/A
6.8731889249,N/A,N/A,N/A,N/A,N/A
