cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3539003800,15.8995,17.6442,85.3197,336.1020,-8.6177647948071E-02
2.5108270720,13.8939,15.1548,85.3197,336.1020,-7.2433794978322E-02
2.6677537640,12.7221,13.5053,85.3197,336.1020,-6.0926917505166E-02
2.8246804560,11.7752,12.3205,85.3197,336.1020,-5.0812654098177E-02
2.9816071480,10.5392,11.0759,85.3197,336.1020,-4.2170184115305E-02
3.1385338400,8.7441,9.3615,85.3197,336.1020,-3.5199966977112E-02
3.2954605320,6.5533,7.1765,85.3197,336.1020,-2.9757557662508E-02
3.4523872240,4.4491,4.9630,85.3197,336.1023,-2.5478373225517E-02
3.6093139160,2.8140,3.1767,85.3197,399.4613,-2.4723598544804E-02
3.7662406080,1.7198,1.9537,85.3443,503.7762,-2.5763382208119E-02
3.9231673000,1.0463,1.1914,90.3721,538.1920,-2.4808906412809E-02
4.0800939920,0.6454,0.7349,213.0150,551.9124,-3.2130047644794E-02
4.2370206840,0.4073,0.4631,647.6756,585.8246,-5.3442612196710E-02
4.3939473760,0.2639,0.2994,929.1439,609.1751,-6.2684478413881E-02
4.5508740680,0.1755,0.1987,1034.5326,617.9109,-6.2681781022478E-02
4.7078007600,0.1198,0.1353,1077.2514,621.3399,-5.9285738505935E-02
4.8647274520,0.0838,0.0944,1097.4679,622.9166,-5.4363968337595E-02
5.0216541440,0.0599,0.0673,1108.3040,623.7437,-4.8814684577507E-02
5.1785808360,0.0437,0.0490,1114.6568,624.2208,-4.3279290415762E-02
5.3355075280,0.0325,0.0364,1118.6370,624.5170,-3.8151554879056E-02
5.4924342200,0.0246,0.0275,1121.2523,624.7098,-3.3589489510273E-02
5.6493609120,0.0190,0.0211,1123.0435,624.8412,-2.9580080400377E-02
5.8062876040,0.0148,0.0165,1124.3031,624.9330,-2.6043828882817E-02
5.9632142960,0.0117,0.0130,1125.2130,624.9991,-2.2897554465052E-02
6.1201409880,0.0094,0.0104,1125.8932,625.0486,-2.0081674668976E-02
6.2770676800,0.0076,0.0084,1126.4131,625.0858,-1.7562743476334E-02
6.4339943720,0.0062,0.0068,1126.8022,625.1138,-1.5322171682867E-02
6.5909210640,0.0051,0.0056,1127.1014,625.1353,-1.3344672077241E-02
6.7478477560,0.0043,0.0047,1127.3381,625.1523,-1.1613024895151E-02
6.9047744480,0.0036,0.0039,1127.5245,625.1657,-1.0106878134557E-02
7.0617011400,0.0031,0.0033,1127.6727,625.1764,-8.8026097737711E-03
7.2186278320,0.0026,0.0028,1127.7998,625.1854,-7.6768921084638E-03
7.3755545240,0.0022,0.0024,1127.9002,625.1925,-6.7067937101527E-03
7.5324812160,0.0019,0.0021,1127.9800,625.1982,-5.8706971887322E-03
7.6894079080,0.0017,0.0018,1128.0494,625.2031,-5.1503969461905E-03
