cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8874467850,14.2142,16.9864,85.3197,389.6069,-1.3712848502895E-01
4.1466099040,12.8010,13.8828,85.3197,389.6069,-1.0944006666652E-01
4.4057730230,11.4701,11.4144,85.3197,389.6069,-9.1886132696513E-02
4.6649361420,9.9882,9.5543,85.3197,389.6069,-8.0277664935504E-02
4.9240992610,8.1320,7.8933,85.3197,389.6069,-7.0766855504579E-02
5.1832623800,6.0696,6.2322,85.3197,389.6069,-6.2250427938318E-02
5.4424254990,4.2154,4.6978,85.3197,389.6069,-5.5715138297289E-02
5.7015886180,2.7922,3.4029,85.3197,389.6428,-5.1419547692007E-02
5.9607517370,1.7893,2.3533,85.3339,452.7804,-5.0869700944379E-02
6.2199148560,1.1209,1.5508,88.1128,557.3457,-5.4201365735042E-02
6.4790779750,0.6965,0.9885,170.4416,769.4501,-7.5657326834883E-02
6.7382410940,0.4358,0.6231,581.9970,781.2273,-1.2238862165508E-01
6.9974042130,0.2775,0.3955,908.0839,786.8471,-1.3530042224424E-01
7.2565673320,0.1809,0.2555,1029.5806,789.6919,-1.2688773428566E-01
7.5157304510,0.1210,0.1687,1076.5287,790.7714,-1.1341527842243E-01
7.7748935700,0.0828,0.1141,1097.9534,791.2237,-9.9694473539578E-02
8.0340566890,0.0581,0.0791,1109.0421,791.4425,-8.6938302201531E-02
8.2932198080,0.0417,0.0560,1115.3917,791.5613,-7.5391907001356E-02
8.5523829270,0.0306,0.0405,1119.2903,791.6314,-6.5043589846947E-02
8.8115460460,0.0228,0.0299,1121.8296,791.6753,-5.5848378464867E-02
9.0707091650,0.0174,0.0225,1123.5257,791.7042,-4.7776170421179E-02
9.3298722840,0.0134,0.0172,1124.7206,791.7241,-4.0776722179903E-02
9.5890354030,0.0105,0.0134,1125.5651,791.7380,-3.4785021528014E-02
9.8481985220,0.0084,0.0105,1126.1865,791.7481,-2.9696808547492E-02
10.1073616410,0.0067,0.0084,1126.6477,791.7555,-2.5396997301740E-02
10.3665247600,0.0054,0.0068,1127.0100,791.7611,-2.1767889557371E-02
10.6256878790,0.0044,0.0055,1127.2937,791.7654,-1.8700629753737E-02
10.8848509980,0.0037,0.0045,1127.4997,791.7686,-1.6104547595889E-02
11.1440141170,0.0031,0.0038,1127.6669,791.7712,-1.3897226512588E-02
11.4031772360,0.0026,0.0032,1127.7962,791.7732,-1.2022621365669E-02
11.6623403550,0.0022,0.0027,1127.9004,791.7747,-1.0423983901031E-02
11.9215034740,0.0019,0.0023,1127.9852,791.7760,-9.0574774473503E-03
12.1806665930,0.0017,0.0019,1128.0547,791.7772,-7.8887117862103E-03
12.4398297120,0.0014,0.0017,1128.1148,791.7781,-6.8893133155456E-03
12.6989928310,0.0012,0.0014,1128.1652,791.7789,-6.0301072454179E-03
